n_prey_initial,n_eaten,n_alive,species_predator,refuge
1,0,1,Gp,hi
1,0,1,Gp,hi
1,0,1,Gp,hi
1,0,1,Gp,hi
2,2,0,Gp,hi
2,1,1,Gp,hi
2,0,2,Gp,hi
2,0,2,Gp,hi
3,0,3,Gp,hi
3,0,3,Gp,hi
3,1,2,Gp,hi
3,0,3,Gp,hi
4,2,2,Gp,hi
4,1,3,Gp,hi
4,4,0,Gp,hi
4,0,4,Gp,hi
5,2,3,Gp,hi
5,2,3,Gp,hi
5,2,3,Gp,hi
5,1,4,Gp,hi
6,4,2,Gp,hi
6,4,2,Gp,hi
6,3,3,Gp,hi
6,0,6,Gp,hi
7,5,2,Gp,hi
7,4,3,Gp,hi
7,3,4,Gp,hi
7,6,1,Gp,hi
8,5,3,Gp,hi
8,5,3,Gp,hi
8,6,2,Gp,hi
8,2,6,Gp,hi
15,7,8,Gp,hi
15,3,12,Gp,hi
15,4,11,Gp,hi
15,7,8,Gp,hi
25,7,18,Gp,hi
25,9,16,Gp,hi
25,3,22,Gp,hi
25,7,18,Gp,hi
40,10,30,Gp,hi
40,5,35,Gp,hi
40,6,34,Gp,hi
40,9,31,Gp,hi
1,1,0,Gp,lo
1,1,0,Gp,lo
1,1,0,Gp,lo
1,1,0,Gp,lo
2,2,0,Gp,lo
2,2,0,Gp,lo
2,1,1,Gp,lo
2,1,1,Gp,lo
3,3,0,Gp,lo
3,3,0,Gp,lo
3,3,0,Gp,lo
3,2,1,Gp,lo
4,3,1,Gp,lo
4,4,0,Gp,lo
4,4,0,Gp,lo
4,3,1,Gp,lo
5,5,0,Gp,lo
5,5,0,Gp,lo
5,4,1,Gp,lo
5,4,1,Gp,lo
6,4,2,Gp,lo
6,5,1,Gp,lo
6,2,4,Gp,lo
6,6,0,Gp,lo
7,5,2,Gp,lo
7,4,3,Gp,lo
7,3,4,Gp,lo
7,6,1,Gp,lo
8,4,4,Gp,lo
8,8,0,Gp,lo
8,7,1,Gp,lo
8,8,0,Gp,lo
15,10,5,Gp,lo
15,6,9,Gp,lo
15,5,10,Gp,lo
15,7,8,Gp,lo
25,5,20,Gp,lo
25,9,16,Gp,lo
25,14,11,Gp,lo
25,15,10,Gp,lo
40,14,26,Gp,lo
40,12,28,Gp,lo
40,9,31,Gp,lo
40,13,27,Gp,lo
2,2,0,Gp,mid
2,1,1,Gp,mid
2,0,2,Gp,mid
4,3,1,Gp,mid
4,0,4,Gp,mid
4,1,3,Gp,mid
5,2,3,Gp,mid
5,1,4,Gp,mid
5,0,5,Gp,mid
5,4,2,Gp,mid
6,4,2,Gp,mid
6,3,3,Gp,mid
7,3,4,Gp,mid
7,2,5,Gp,mid
7,4,3,Gp,mid
8,7,1,Gp,mid
8,5,3,Gp,mid
8,2,6,Gp,mid
15,3,12,Gp,mid
15,6,9,Gp,mid
15,6,9,Gp,mid
25,2,23,Gp,mid
25,2,23,Gp,mid
25,13,12,Gp,mid
40,13,27,Gp,mid
40,12,28,Gp,mid
40,3,37,Gp,mid
1,1,0,Gp,mid 
1,1,0,Gp,mid 
1,1,0,Gp,mid 
1,0,1,Gp,mid 
2,0,2,Gp,mid 
3,0,3,Gp,mid 
3,1,2,Gp,mid 
3,1,2,Gp,mid 
3,1,2,Gp,mid 
4,1,3,Gp,mid 
5,1,4,Gp,mid 
6,1,5,Gp,mid 
7,4,3,Gp,mid 
8,6,2,Gp,mid 
15,7,8,Gp,mid 
25,10,15,Gp,mid 
40,10,30,Gp,mid 
